"praatword","word","chapter","section","section_time_onset","section_time_offset","whole_time_onset","whole_time_offset","subtl freq",,"new-disc-stack-lc","new-disc-stack-lc-rev","new-disc-stack-bu","new-disc-stack-bu-rev","new-disc-pred-td","new-disc-pred-td-rev","new-disc-changed-lc","new-disc-changed-lc-rev","new-disc-changed-bu","new-disc-changed-bu-rev","new-disc-changed-td","new-disc-changed-td-rev","new-disc-old-lc","new-disc-old-rev","new-disc-old-td","new-disc-old-bu","new-disc-filler-gap","new-disc-filler-gap-only-filler","new-disc-filler-gap-only-gap","new-disc-filler-gap-only-rule-1","new-disc-filler-gap-only-rule-2","new-disc-filler-gap-only-rule-3","new-disc-filler-gap-only-rule-4","new-disc-filler-gap-only-rule-5","new-disc-filler-gap-only-rule-6","new-disc-filler-gap-only-rule-7",,"new-proj-stack-lc","new-proj-stack-lc-rev","new-proj-stack-bu","new-proj-stack-bu-rev","new-proj-pred-td","new-proj-pred-td-rev","new-proj-changed-lc","new-proj-changed-lc-rev","new-proj-changed-bu","new-proj-changed-bu-rev","new-proj-changed-td","new-proj-changed-td-rev","new-proj-old-lc","new-proj-old-rev","new-proj-old-td","new-proj-old-bu","new-proj-filler-gap","new-proj-filler-gap-only-filler","new-proj-filler-gap-only-gap","new-proj-filler-gap-only-rule-1","new-proj-filler-gap-only-rule-2","new-proj-filler-gap-only-rule-3","new-proj-filler-gap-only-rule-4","new-proj-filler-gap-only-rule-5","new-proj-filler-gap-only-rule-6","new-proj-filler-gap-only-rule-7"
"when","when",4,2,87.688,88.013,651.688,652.013,2034.1,,1,1,1,1,1,1,2,2,1,1,8,7,1,1,7,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,5,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0
"you","you",4,2,88.013,88.133,652.013,652.133,41857.12,,2,2,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"talk","talk",4,2,88.133,88.413,652.133,652.413,855,,2,2,2,2,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"to","to",4,2,88.413,88.513,652.413,652.513,22677.84,,2,2,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"them","them",4,2,88.513,88.633,652.513,652.633,1778.82,,1,1,2,2,1,1,5,5,3,3,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,5,5,3,3,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"about","about",4,2,88.633,88.933,652.633,652.933,3631.49,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"a","a",4,2,88.933,88.993,652.933,652.993,20415.27,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"friend","friend",4,2,88.993,89.447,652.993,653.447,419.29,,1,1,1,1,1,1,6,6,5,5,5,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,7,7,6,6,6,6,1,1,0,5,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,89.772,89.906,653.772,653.906,4102.94,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"never","never",4,2,89.906,90.177,653.906,654.177,1362.55,,1,1,1,1,1,1,3,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ask","ask",4,2,90.177,90.477,654.177,654.477,483.14,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"you","you",4,2,90.477,90.556,654.477,654.556,41857.12,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"about","about",4,2,90.556,90.677,654.556,654.677,3631.49,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"any","any",4,2,90.677,90.766,654.677,654.766,1099.37,,1,1,4,1,1,0,3,4,1,4,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,1,1,0,3,4,1,4,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"of","of",4,2,90.766,90.837,654.766,654.837,11577.24,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",4,2,90.837,90.916,654.837,654.916,29449.18,,2,2,6,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,6,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"important","important",4,2,90.916,91.597,654.916,655.597,207.59,,1,1,6,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,6,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"things","things",4,2,91.597,91.991,655.597,655.991,692.88,,1,1,1,1,0,0,7,3,7,3,7,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,7,3,7,3,7,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,92.33,92.435,656.33,656.435,4102.94,,1,1,1,1,1,1,2,2,1,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"never","never",4,2,92.435,92.685,656.435,656.685,1362.55,,1,1,1,1,1,1,3,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ask","ask",4,2,92.685,93.035,656.685,657.035,483.14,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"you","you",4,2,93.035,93.235,657.035,657.235,41857.12,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"how","how",4,2,93.235,93.695,657.235,657.695,3056.22,,2,2,3,3,1,1,2,2,1,1,5,5,1,1,3,0,1,1,0,0,1,0,0,0,0,0,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,93.695,93.835,657.695,657.835,666.71,,2,2,4,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,2,2,4,4,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"his","his",4,2,93.835,94.045,657.835,658.045,2124.78,,3,3,5,5,1,1,2,2,1,1,3,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,,2,2,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"voice","voice",4,2,94.045,94.315,658.045,658.315,86.16,,1,1,5,5,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,4,4,1,1,5,5,3,3,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"sound","sound",4,2,94.315,94.839,658.315,658.839,143.39,,1,1,1,1,0,0,6,6,6,6,6,6,0,0,0,5,1,0,1,0,1,0,0,0,0,0,,1,1,1,1,0,0,5,5,5,5,5,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"what","what",4,2,95.073,95.218,659.073,659.218,9842.45,,1,1,1,1,1,1,2,2,1,1,6,5,1,1,5,0,1,1,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"games","games",4,2,95.218,95.708,659.218,659.708,44.84,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,95.708,95.838,659.708,659.838,666.71,,2,1,2,2,1,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"he","he",4,2,95.838,95.938,659.838,659.938,7637.2,,2,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"like","like",4,2,95.938,96.258,659.938,660.258,3998.96,,1,1,3,1,1,0,4,4,2,4,2,4,1,0,0,1,1,0,1,0,1,0,0,0,0,0,,1,1,3,1,1,0,3,3,1,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"best","best",4,2,96.258,96.672,660.258,660.672,404.37,,1,1,1,1,0,0,4,1,4,1,4,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,4,1,4,1,4,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,96.947,97.052,660.947,661.052,666.71,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"he","he",4,2,97.052,97.132,661.052,661.132,7637.2,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"collect","collect",4,2,97.132,97.512,661.132,661.512,20,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"butterflies","butterflies",4,2,97.512,98.316,661.512,662.316,2.25,,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,98.93,99.025,662.93,663.025,4102.94,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ask","ask",4,2,99.025,99.41,663.025,663.41,483.14,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"how","how",4,2,99.714,99.919,663.714,663.919,3056.22,,2,2,3,3,1,1,2,2,1,1,5,5,1,1,3,0,1,1,0,0,1,0,0,0,0,0,,2,2,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"old","old",4,2,99.919,100.099,663.919,664.099,608.94,,2,2,3,3,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"is","is",4,2,100.099,100.219,664.099,664.219,9013,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"he","he",4,2,100.219,100.409,664.219,664.409,7637.2,,1,1,1,1,0,0,4,4,4,4,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,5,5,5,5,5,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"how","how",4,2,100.798,100.923,664.798,664.923,3056.22,,1,1,1,1,1,1,2,2,1,1,6,6,1,1,5,0,1,1,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"many","many",4,2,100.923,101.113,664.923,665.113,359.43,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"brothers","brothers",4,2,101.113,101.503,665.113,665.503,47.06,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,101.503,101.643,665.503,665.643,666.71,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"he","he",4,2,101.643,101.793,665.643,665.793,7637.2,,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"have","have",4,2,101.793,102.028,665.793,666.028,6161.41,,1,1,1,1,0,0,4,4,4,4,4,4,0,0,0,3,1,0,1,0,1,0,0,0,0,0,,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"how","how",4,2,102.267,102.372,666.267,666.372,3056.22,,1,1,1,1,1,1,2,2,1,1,5,5,1,1,4,0,1,1,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"much","much",4,2,102.372,102.592,666.372,666.592,973.25,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,102.592,102.742,666.592,666.742,666.71,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"he","he",4,2,102.742,102.832,666.742,666.832,7637.2,,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"weigh","weigh",4,2,102.832,103.202,666.832,667.202,7.12,,1,1,1,1,0,0,4,4,4,4,4,4,0,0,0,3,1,0,1,0,1,0,0,0,0,0,,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"how","how",4,2,103.631,103.736,667.631,667.736,3056.22,,1,1,1,1,1,1,2,2,1,1,6,6,1,1,5,0,1,1,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"much","much",4,2,103.736,103.936,667.736,667.936,973.25,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"money","money",4,2,103.936,104.206,667.936,668.206,640.76,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"does","does",4,2,104.206,104.346,668.206,668.346,666.71,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"his","his",4,2,104.346,104.526,668.346,668.526,2124.78,,2,2,3,3,1,1,2,2,1,1,3,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,,2,2,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"father","father",4,2,104.526,104.856,668.526,668.856,554.49,,1,1,3,3,1,1,2,2,2,2,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,1,2,2,1,1,5,5,3,3,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"make","make",4,2,104.856,105.171,668.856,669.171,1387.75,,1,1,1,1,0,0,4,4,4,4,4,4,0,0,0,3,1,0,1,0,1,0,0,0,0,0,,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"only","only",4,2,105.804,106.299,669.804,670.299,1083.71,,1,1,1,1,1,1,2,2,1,1,5,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,5,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0
"then","then",4,2,106.299,106.549,670.299,670.549,1489.53,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"do","do",4,2,106.549,106.689,670.549,670.689,6135.59,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,106.689,106.839,670.689,670.839,4102.94,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"think","think",4,2,106.839,107.219,670.839,671.219,2691.39,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,107.219,107.329,671.219,671.329,4102.94,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"know","know",4,2,107.329,107.409,671.329,671.409,5721.18,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"him","him",4,2,107.409,107.864,671.409,671.864,3484.51,,1,1,1,1,0,0,5,5,5,5,5,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,5,5,5,5,5,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"if","if",4,2,108.771,108.886,672.771,672.886,3541.37,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"you","you",4,2,108.886,109.016,672.886,673.016,41857.12,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"said","said",4,2,109.016,109.286,673.016,673.286,1108.45,,2,1,3,3,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,2,1,1,3,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"to","to",4,2,109.286,109.376,673.286,673.376,22677.84,,2,1,4,4,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,3,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",4,2,109.376,109.466,673.376,673.466,29449.18,,2,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"grownups","grownups",4,2,109.466,110.096,673.466,674.096,1.53,,1,1,3,3,1,1,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"i","i",4,2,110.6,110.835,674.6,674.835,39971.16,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"saw","saw",4,2,110.835,111.155,674.835,675.155,402.49,,1,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"a","a",4,2,111.155,111.285,675.155,675.285,20415.27,,2,2,6,6,1,1,2,2,1,1,7,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,,2,2,5,5,1,1,2,2,1,1,7,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0
"beautiful","beautiful",4,2,111.285,112.005,675.285,676.005,279.73,,2,2,6,6,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,5,5,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"red","red",4,2,112.005,112.315,676.005,676.315,148.06,,2,2,6,6,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,5,5,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"brick","brick",4,2,112.315,112.695,676.315,676.695,10.18,,2,1,6,6,1,1,3,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,5,5,1,1,3,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"house","house",4,2,112.695,113.125,676.695,677.125,514,,1,1,6,1,1,1,4,8,2,7,2,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,5,1,1,1,4,7,2,6,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"with","with",4,2,113.125,113.295,677.125,677.295,5048.33,,1,1,7,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,6,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"geraniums","geraniums",4,2,113.295,114.045,677.295,678.045,0.24,,2,2,8,3,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,2,2,7,3,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"by","by",4,2,114.045,114.235,678.045,678.235,1340.47,,2,2,9,4,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,8,4,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",4,2,114.235,114.335,678.235,678.335,29449.18,,2,2,10,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,9,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"windows","windows",4,2,114.335,114.815,678.335,678.815,23.33,,2,2,8,3,1,1,5,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,,2,2,7,3,1,1,5,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"and","and",4,2,114.815,114.975,678.815,678.975,13387.84,,1,1,8,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,7,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"doves","doves",4,2,114.975,115.435,678.975,679.435,1,,1,1,9,1,1,1,3,3,1,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,8,1,1,1,3,3,1,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"on","on",4,2,115.435,115.585,679.435,679.585,6955.73,,1,1,10,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,9,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",4,2,115.585,115.675,679.585,679.675,29449.18,,1,1,11,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,10,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"roof","roof",4,2,115.675,116.023,679.675,680.023,35.65,,1,1,1,1,1,1,13,3,12,3,12,3,1,1,0,11,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,12,3,11,3,11,3,1,1,0,10,0,0,0,0,0,0,0,0,0,0
"they","they",4,2,116.621,116.726,680.621,680.726,4102.94,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"wouldn","would",4,2,116.726,116.996,680.726,680.996,463.29,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"t","not",4,2,116.996,117.026,680.996,681.026,14379.18,,1,1,2,2,1,1,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"be","be",4,2,117.026,117.176,681.026,681.176,5746.76,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"able","able",4,2,117.176,117.406,681.176,681.406,159.9,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
