"praatword","word","chapter","section","section_time_onset","section_time_offset","whole_time_onset","whole_time_offset","subtl freq",,"new-disc-stack-lc","new-disc-stack-lc-rev","new-disc-stack-bu","new-disc-stack-bu-rev","new-disc-pred-td","new-disc-pred-td-rev","new-disc-changed-lc","new-disc-changed-lc-rev","new-disc-changed-bu","new-disc-changed-bu-rev","new-disc-changed-td","new-disc-changed-td-rev","new-disc-old-lc","new-disc-old-rev","new-disc-old-td","new-disc-old-bu","new-disc-filler-gap","new-disc-filler-gap-only-filler","new-disc-filler-gap-only-gap","new-disc-filler-gap-only-rule-1","new-disc-filler-gap-only-rule-2","new-disc-filler-gap-only-rule-3","new-disc-filler-gap-only-rule-4","new-disc-filler-gap-only-rule-5","new-disc-filler-gap-only-rule-6","new-disc-filler-gap-only-rule-7",,"new-proj-stack-lc","new-proj-stack-lc-rev","new-proj-stack-bu","new-proj-stack-bu-rev","new-proj-pred-td","new-proj-pred-td-rev","new-proj-changed-lc","new-proj-changed-lc-rev","new-proj-changed-bu","new-proj-changed-bu-rev","new-proj-changed-td","new-proj-changed-td-rev","new-proj-old-lc","new-proj-old-rev","new-proj-old-td","new-proj-old-bu","new-proj-filler-gap","new-proj-filler-gap-only-filler","new-proj-filler-gap-only-gap","new-proj-filler-gap-only-rule-1","new-proj-filler-gap-only-rule-2","new-proj-filler-gap-only-rule-3","new-proj-filler-gap-only-rule-4","new-proj-filler-gap-only-rule-5","new-proj-filler-gap-only-rule-6","new-proj-filler-gap-only-rule-7"
"primeval","primeval",1,1,5.053,5.634,5.053,5.634,0.29,,2,1,6,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,6,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"forest","forest",1,1,5.634,6.247,5.634,6.247,18.88,,1,1,4,1,1,0,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,,1,1,4,1,1,0,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"called","called",1,1,6.247,6.827,6.247,6.827,340.02,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,5,2,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"real","real",1,1,6.827,7.277,6.827,7.277,442.8,,2,2,6,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,5,2,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"life","life",1,1,7.277,7.567,7.277,7.567,796.65,,1,1,6,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,5,2,1,1,4,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"stories","stories",1,1,7.567,8.339,7.567,8.339,43.43,,1,1,1,1,0,0,7,3,7,3,7,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,6,2,6,2,6,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0
"it","it",1,1,9.247,9.432,9.247,9.432,18896.31,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"showed","showed",1,1,9.432,9.755,9.432,9.755,47.55,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"a","a",1,1,9.755,9.812,9.755,9.812,20415.27,,2,2,3,3,1,1,2,2,1,1,5,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,3,1,1,2,2,1,1,5,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"boa","boa",1,1,9.812,10.176,9.812,10.176,1.29,,2,2,3,3,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,3,3,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"constrictor","constrictor",1,1,10.176,10.876,10.176,10.876,0.24,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"swallowing","swallowing",1,1,10.876,11.487,10.876,11.487,1.45,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"a","a",1,1,11.487,11.592,11.487,11.592,20415.27,,2,2,5,5,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,5,5,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"wild","wild",1,1,11.592,12,11.592,12,57.31,,1,1,5,5,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,5,5,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"animal","animal",1,1,12,12.416,12,12.416,45.49,,1,1,1,1,0,0,6,6,6,6,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,6,6,6,6,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"here","here",1,1,13.144,13.344,13.144,13.344,4525.25,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"is","is",1,1,13.344,13.469,13.344,13.469,9013,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"a","a",1,1,13.469,13.509,13.469,13.509,20415.27,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"copy","copy",1,1,13.509,13.9,13.509,13.9,52.27,,1,1,2,1,1,0,4,3,2,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,1,1,0,4,3,2,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"of","of",1,1,13.9,13.999,13.9,13.999,11577.24,,1,1,3,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",1,1,13.999,14.079,13.999,14.079,29449.18,,1,1,4,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"drawing","drawing",1,1,14.079,14.464,14.079,14.464,16.02,,1,1,1,1,0,0,5,3,5,3,5,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,5,3,5,3,5,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0
"it","it",1,1,15.86,16.023,15.86,16.023,18896.31,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"said","said",1,1,16.023,16.264,16.023,16.264,1108.45,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"in","in",1,1,16.264,16.365,16.264,16.365,9773.41,,2,1,3,3,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,3,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",1,1,16.365,16.437,16.365,16.437,29449.18,,2,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"book","book",1,1,16.437,16.755,16.437,16.755,176.98,,1,1,2,2,1,1,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,6,3,4,3,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"boa","boa",1,1,17.219,17.584,17.219,17.584,1.29,,2,2,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"constrictors","constrictors",1,1,17.584,18.322,17.584,18.322,0.16,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"swallow","swallow",1,1,18.322,18.812,18.322,18.812,12.73,,2,1,4,4,1,1,2,3,1,1,5,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,4,1,1,2,3,1,1,5,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"their","their",1,1,18.812,18.984,18.812,18.984,655.16,,2,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"prey","prey",1,1,18.984,19.458,18.984,19.458,5.51,,2,1,4,1,1,0,4,6,3,6,3,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,1,4,1,1,0,4,6,3,6,3,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"whole","whole",1,1,19.458,19.913,19.458,19.913,385.49,,1,1,4,1,1,0,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,4,1,1,0,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"without","without",1,1,19.913,20.334,19.913,20.334,354.65,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"chewing","chewing",1,1,20.334,20.902,20.334,20.902,5.51,,1,1,1,1,0,0,6,2,6,2,6,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,6,2,6,2,6,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0
"then","then",1,1,21.561,21.876,21.561,21.876,1489.53,,1,1,1,1,1,1,2,2,1,1,5,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"they","they",1,1,21.876,22.006,21.876,22.006,4102.94,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"are","are",1,1,22.006,22.106,22.006,22.106,5209.25,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,3,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"not","not",1,1,22.106,22.306,22.106,22.306,5424.96,,1,1,2,2,1,1,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,4,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"able","able",1,1,22.306,22.566,22.306,22.566,159.9,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"to","to",1,1,22.566,22.706,22.566,22.706,22677.84,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"move","move",1,1,22.706,23.371,22.706,23.371,418.14,,1,1,1,1,1,1,6,6,5,5,5,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,7,7,6,6,6,6,1,1,0,5,0,0,0,0,0,0,0,0,0,0
"and","and",1,1,23.371,23.626,23.371,23.626,13387.84,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"they","they",1,1,23.626,23.745,23.626,23.745,4102.94,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"sleep","sleep",1,1,23.745,24.149,23.745,24.149,227.94,,1,1,3,1,1,0,3,3,1,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,1,1,0,3,3,1,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"for","for",1,1,24.149,24.256,24.149,24.256,6895.1,,1,1,4,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",1,1,24.256,24.356,24.256,24.356,29449.18,,2,2,5,3,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,2,2,5,3,1,1,2,2,1,1,5,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"six","six",1,1,24.356,24.786,24.356,24.786,199.53,,2,1,5,3,1,1,3,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,5,3,1,1,3,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"months","months",1,1,24.786,25.135,24.786,25.135,163.02,,1,1,5,1,1,0,4,3,2,3,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,5,1,1,0,4,3,2,3,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"it","it",1,1,25.135,25.226,25.135,25.226,18896.31,,1,1,6,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,6,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"takes","takes",1,1,25.226,25.496,25.226,25.496,117.37,,1,1,7,1,1,0,3,2,1,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,7,1,1,0,3,2,1,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"for","for",1,1,25.496,25.606,25.496,25.606,6895.1,,1,1,8,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,8,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"digestion","digestion",1,1,25.606,26.339,25.606,26.339,1.02,,1,1,1,1,0,0,9,2,9,2,9,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,9,2,9,2,9,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0
"so","so",1,1,27.292,27.777,27.292,27.777,4244.16,,1,1,1,1,1,1,2,2,1,1,5,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"i","i",1,1,27.777,27.887,27.777,27.887,39971.16,,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"thought","thought",1,1,27.887,28.167,27.887,28.167,808.47,,2,1,2,2,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,3,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"a","a",1,1,28.167,28.266,28.167,28.266,20415.27,,2,1,3,3,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,4,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"lot","lot",1,1,28.266,28.487,28.266,28.487,569.92,,1,1,2,2,1,1,5,2,3,2,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,,1,1,3,3,1,1,5,2,3,2,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"about","about",1,1,28.487,28.737,28.487,28.737,3631.49,,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"the","the",1,1,28.737,28.854,28.737,28.854,29449.18,,2,1,4,4,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,2,1,5,5,1,1,2,3,1,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"adventures","adventures",1,1,28.854,29.387,28.854,29.387,3.61,,1,1,4,1,1,1,4,6,2,5,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,5,1,1,1,4,7,2,6,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"of","of",1,1,29.387,29.474,29.387,29.474,11577.24,,1,1,5,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,6,2,1,1,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
