,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,new-disc-stack-lc,new-disc-stack-lc-rev,new-disc-stack-bu,new-disc-stack-bu-rev,new-disc-pred-td,new-disc-pred-td-rev,new-disc-changed-lc,new-disc-changed-lc-rev,new-disc-changed-bu,new-disc-changed-bu-rev,new-disc-changed-td,new-disc-changed-td-rev,new-disc-old-lc,new-disc-old-rev,new-disc-old-td,new-disc-old-bu,new-disc-filler-gap,new-disc-filler-gap-only-filler,new-disc-filler-gap-only-gap,new-disc-filler-gap-only-rule-1,new-disc-filler-gap-only-rule-2,new-disc-filler-gap-only-rule-3,new-disc-filler-gap-only-rule-4,new-disc-filler-gap-only-rule-5,new-disc-filler-gap-only-rule-6,new-disc-filler-gap-only-rule-7,new-proj-stack-lc,new-proj-stack-lc-rev,new-proj-stack-bu,new-proj-stack-bu-rev,new-proj-pred-td,new-proj-pred-td-rev,new-proj-changed-lc,new-proj-changed-lc-rev,new-proj-changed-bu,new-proj-changed-bu-rev,new-proj-changed-td,new-proj-changed-td-rev,new-proj-old-lc,new-proj-old-rev,new-proj-old-td,new-proj-old-bu,new-proj-filler-gap,new-proj-filler-gap-only-filler,new-proj-filler-gap-only-gap,new-proj-filler-gap-only-rule-1,new-proj-filler-gap-only-rule-2,new-proj-filler-gap-only-rule-3,new-proj-filler-gap-only-rule-4,new-proj-filler-gap-only-rule-5,new-proj-filler-gap-only-rule-6,new-proj-filler-gap-only-rule-7
10,本,本,2.44,2.53,9.000524363102912,DET,1,5,2,3,2,2,2,2,2,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11,描写,描写,2.53,2.93,6.134109286749038,NOUN,1,2,3,3,2,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,1,1,0,0,0,0,0,1,0,0,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,1,1,0,0,0,0,0,1,0,0
12,原始,原始,2.93,3.25,6.904483933963076,ADJ,1,2,2,2,2,3,3,4,4,1,1,3,3,1,1,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,3,3,4,4,1,1,3,3,1,1,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0
13,森林,森林,3.25,3.69,6.496139796034242,NOUN,1,2,3,3,2,2,2,3,3,1,1,5,5,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,2,3,3,1,1,5,5,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0
14,的,的,3.69,3.79,13.549001743000456,PART,1,1,2,2,2,2,2,2,2,1,1,4,4,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,2,2,2,1,1,4,4,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0
15,名,名,4.16,4.3,8.351761553510602,NOUN,1,2,3,3,2,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0
16,叫,叫,4.3,4.46,6.116971013472702,VERB,1,2,1,2,2,3,3,4,4,1,1,3,3,1,1,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,3,3,4,4,1,1,3,3,1,1,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0
17,真实,真实,4.46,4.84,7.367570305240154,ADJ,1,5,3,4,2,4,4,5,5,1,1,2,2,1,1,4,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0,4,4,5,5,1,1,2,2,1,1,4,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0
18,的,的,4.84,4.9,13.549001743000456,PART,1,1,2,2,2,3,3,5,5,1,1,4,4,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,3,5,5,1,1,4,4,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0
19,故事,故事,4.9,5.22,7.543595858252328,NOUN,1,2,5,3,2,2,2,3,3,1,1,6,6,4,4,4,4,1,1,0,3,1,0,0,0,0,0,0,1,0,0,2,2,3,3,1,1,6,6,4,4,4,4,1,1,0,3,1,0,0,0,0,0,0,1,0,0
20,的,的,5.22,5.31,13.549001743000456,PART,1,1,2,2,2,2,2,2,2,1,1,4,4,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,2,2,2,1,1,4,4,3,3,3,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0
21,书,书,5.31,5.51,8.321374638581034,NOUN,1,2,3,3,2,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0
22,中,中,5.51,5.71,11.01019816111366,PART,1,1,3,2,2,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
23,看到,看到,6.05,6.32,0.1231021971339834,VERB,1,2,1,2,3,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
